# of Men,# of Women,Completeness in Men's Pref.,Completeness in Women's Pref.,Ties in Men's Pref.,Ties in Women's Pref.,Exec. Time of Sex-equal Opt.,Exec. Time of Egalitarian Opt., Exec. Time of Minimum Regret Opt.,Exec. Time of Maximum Cardinality Opt.,Exec. Time without Opt.
20,20,50 %,50 %,10 %,10 %,0.090 sec,0.670 sec,0.010 sec,0.010 sec,0.000 sec
20,20,50 %,50 %,10 %,20 %,0.520 sec,1.430 sec,0.020 sec,0.010 sec,0.000 sec
20,20,50 %,50 %,20 %,20 %,0.570 sec,1.380 sec,0.010 sec,0.010 sec,0.010 sec
20,20,50 %,100 %,0 %,0 %,1.150 sec,6.180 sec,0.050 sec,0.050 sec,0.040 sec
20,20,50 %,100 %,0 %,10 %,2.400 sec,12.980 sec,0.060 sec,0.060 sec,0.050 sec
20,20,50 %,100 %,0 %,20 %,1.570 sec,7.810 sec,0.050 sec,0.070 sec,0.060 sec
20,20,50 %,100 %,10 %,10 %,2.160 sec,10.120 sec,0.040 sec,0.060 sec,0.050 sec
20,20,50 %,100 %,10 %,20 %,7.920 sec,15.760 sec,0.070 sec,0.060 sec,0.050 sec
20,20,50 %,100 %,20 %,20 %,13.640 sec,16.280 sec,0.060 sec,0.070 sec,0.070 sec
20,20,100 %,100 %,0 %,0 %,12.460 sec,105.190 sec,0.390 sec,0.370 sec,0.410 sec
20,20,100 %,100 %,0 %,10 %,48.010 sec,93.250 sec,0.390 sec,0.340 sec,0.340 sec
20,20,100 %,100 %,0 %,20 %,103.070 sec,73.810 sec,0.320 sec,0.290 sec,0.380 sec
20,20,100 %,100 %,10 %,10 %,87.010 sec,105.590 sec,0.470 sec,0.420 sec,0.310 sec
20,20,100 %,100 %,10 %,20 %,182.030 sec,96.250 sec,0.420 sec,0.450 sec,0.420 sec
20,20,100 %,100 %,20 %,20 %,126.760 sec,113.760 sec,0.350 sec,0.340 sec,0.410 sec
20,40,25 %,25 %,0 %,0 %,0.070 sec,0.270 sec,0.010 sec,0.010 sec,0.000 sec
20,40,25 %,25 %,0 %,10 %,0.080 sec,0.390 sec,0.010 sec,0.000 sec,0.000 sec
20,40,25 %,25 %,0 %,20 %,0.110 sec,0.430 sec,0.010 sec,0.010 sec,0.010 sec
20,40,25 %,25 %,10 %,10 %,0.190 sec,0.490 sec,0.010 sec,0.010 sec,0.000 sec
20,40,25 %,25 %,10 %,20 %,0.130 sec,0.380 sec,0.000 sec,0.000 sec,0.010 sec
20,40,25 %,25 %,20 %,20 %,0.080 sec,0.340 sec,0.000 sec,0.010 sec,0.010 sec
20,40,25 %,50 %,0 %,0 %,0.310 sec,1.130 sec,0.010 sec,0.010 sec,0.010 sec
20,40,25 %,50 %,0 %,10 %,0.690 sec,2.490 sec,0.020 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,0 %,20 %,0.620 sec,2.100 sec,0.020 sec,0.020 sec,0.010 sec
20,40,25 %,50 %,10 %,10 %,0.620 sec,3.030 sec,0.020 sec,0.020 sec,0.020 sec
20,40,25 %,50 %,10 %,20 %,0.480 sec,1.560 sec,0.020 sec,0.020 sec,0.010 sec
20,40,25 %,50 %,20 %,20 %,0.580 sec,1.590 sec,0.020 sec,0.020 sec,0.010 sec
20,40,25 %,100 %,0 %,0 %,4.440 sec,9.800 sec,0.050 sec,0.040 sec,0.050 sec
20,40,25 %,100 %,0 %,10 %,6.050 sec,18.080 sec,0.050 sec,0.060 sec,0.040 sec
20,40,25 %,100 %,0 %,20 %,9.710 sec,12.470 sec,0.050 sec,0.050 sec,0.050 sec
20,40,25 %,100 %,10 %,10 %,8.620 sec,11.430 sec,0.050 sec,0.050 sec,0.040 sec
20,40,25 %,100 %,10 %,20 %,7.980 sec,16.640 sec,0.050 sec,0.050 sec,0.040 sec
20,40,25 %,100 %,20 %,20 %,8.440 sec,10.730 sec,0.040 sec,0.040 sec,0.040 sec
20,40,50 %,50 %,0 %,0 %,3.680 sec,7.890 sec,0.040 sec,0.040 sec,0.040 sec
20,40,50 %,50 %,0 %,10 %,17.170 sec,20.170 sec,0.060 sec,0.060 sec,0.060 sec
20,40,50 %,50 %,0 %,20 %,6.190 sec,13.730 sec,0.050 sec,0.060 sec,0.050 sec
20,40,50 %,50 %,10 %,10 %,14.340 sec,21.010 sec,0.050 sec,0.060 sec,0.050 sec
20,40,50 %,50 %,10 %,20 %,11.010 sec,17.210 sec,0.040 sec,0.040 sec,0.040 sec
20,40,50 %,50 %,20 %,20 %,5.080 sec,13.310 sec,0.050 sec,0.050 sec,0.040 sec
20,40,50 %,100 %,0 %,0 %,71.040 sec,135.480 sec,0.200 sec,0.280 sec,0.210 sec
20,40,50 %,100 %,0 %,10 %,210.990 sec,97.950 sec,0.330 sec,0.310 sec,0.290 sec
20,40,50 %,100 %,0 %,20 %,217.230 sec,172.140 sec,0.220 sec,0.230 sec,0.280 sec
20,40,50 %,100 %,10 %,10 %,210.030 sec,135.220 sec,0.190 sec,0.210 sec,0.210 sec
20,40,50 %,100 %,10 %,20 %,61.550 sec,72.400 sec,0.210 sec,0.200 sec,0.170 sec
20,40,50 %,100 %,20 %,20 %,69.220 sec,117.320 sec,0.250 sec,0.260 sec,0.170 sec
20,40,100 %,100 %,0 %,0 %,Timeout,693.390 sec,1.710 sec,1.740 sec,2.430 sec
20,40,100 %,100 %,0 %,10 %,843.150 sec,830.220 sec,1.610 sec,1.530 sec,2.020 sec
20,40,100 %,100 %,0 %,20 %,Timeout,752.140 sec,1.800 sec,1.910 sec,1.480 sec
20,40,100 %,100 %,10 %,10 %,Timeout,768.540 sec,1.630 sec,1.800 sec,1.810 sec
20,40,100 %,100 %,10 %,20 %,Timeout,852.090 sec,1.760 sec,1.830 sec,1.790 sec
20,40,100 %,100 %,20 %,20 %,Timeout,678.400 sec,1.360 sec,1.400 sec,1.820 sec
20,60,25 %,25 %,0 %,0 %,0.340 sec,1.050 sec,0.010 sec,0.020 sec,0.000 sec
20,60,25 %,25 %,0 %,10 %,0.200 sec,0.590 sec,0.010 sec,0.010 sec,0.000 sec
20,60,25 %,25 %,0 %,20 %,0.240 sec,0.660 sec,0.010 sec,0.020 sec,0.000 sec
20,60,25 %,25 %,10 %,10 %,0.650 sec,2.030 sec,0.020 sec,0.020 sec,0.010 sec
20,60,25 %,25 %,10 %,20 %,0.280 sec,0.900 sec,0.010 sec,0.010 sec,0.010 sec
20,60,25 %,25 %,20 %,20 %,0.740 sec,1.910 sec,0.020 sec,0.020 sec,0.010 sec
20,60,25 %,50 %,0 %,0 %,4.180 sec,9.030 sec,0.030 sec,0.030 sec,0.020 sec
20,60,25 %,50 %,0 %,10 %,1.740 sec,5.230 sec,0.020 sec,0.030 sec,0.010 sec
20,60,25 %,50 %,0 %,20 %,1.790 sec,4.500 sec,0.020 sec,0.020 sec,0.020 sec
20,60,25 %,50 %,10 %,10 %,5.320 sec,10.300 sec,0.030 sec,0.030 sec,0.020 sec
20,60,25 %,50 %,10 %,20 %,5.790 sec,12.310 sec,0.030 sec,0.030 sec,0.020 sec
20,60,25 %,50 %,20 %,20 %,5.080 sec,10.190 sec,0.030 sec,0.040 sec,0.020 sec
20,60,25 %,100 %,0 %,0 %,52.050 sec,83.490 sec,0.100 sec,0.120 sec,0.080 sec
20,60,25 %,100 %,0 %,10 %,34.910 sec,49.890 sec,0.090 sec,0.090 sec,0.060 sec
20,60,25 %,100 %,0 %,20 %,35.200 sec,92.900 sec,0.080 sec,0.100 sec,0.100 sec
20,60,25 %,100 %,10 %,10 %,50.510 sec,100.710 sec,0.110 sec,0.110 sec,0.090 sec
20,60,25 %,100 %,10 %,20 %,34.210 sec,86.100 sec,0.110 sec,0.120 sec,0.090 sec
20,60,25 %,100 %,20 %,20 %,72.200 sec,110.290 sec,0.120 sec,0.120 sec,0.120 sec
20,60,50 %,50 %,0 %,0 %,43.100 sec,71.180 sec,0.110 sec,0.120 sec,0.100 sec
20,60,50 %,50 %,0 %,10 %,62.850 sec,71.060 sec,0.100 sec,0.120 sec,0.100 sec
20,60,50 %,50 %,0 %,20 %,27.850 sec,66.710 sec,0.120 sec,0.130 sec,0.100 sec
20,60,50 %,50 %,10 %,10 %,58.270 sec,93.770 sec,0.110 sec,0.110 sec,0.110 sec
20,60,50 %,50 %,10 %,20 %,35.890 sec,98.800 sec,0.130 sec,0.140 sec,0.120 sec
20,60,50 %,50 %,20 %,20 %,70.140 sec,89.040 sec,0.120 sec,0.120 sec,0.120 sec
20,60,50 %,100 %,0 %,0 %,Timeout,634.440 sec,0.650 sec,0.660 sec,0.550 sec
20,60,50 %,100 %,0 %,10 %,844.070 sec,302.420 sec,0.550 sec,0.580 sec,0.600 sec
20,60,50 %,100 %,0 %,20 %,Timeout,552.630 sec,0.430 sec,0.440 sec,0.590 sec
20,60,50 %,100 %,10 %,10 %,Timeout,618.730 sec,0.450 sec,0.480 sec,0.470 sec
20,60,50 %,100 %,10 %,20 %,685.050 sec,479.310 sec,0.510 sec,0.530 sec,0.420 sec
20,60,50 %,100 %,20 %,20 %,996.540 sec,447.030 sec,0.680 sec,0.660 sec,0.540 sec
20,60,100 %,100 %,0 %,0 %,Timeout,Timeout,4.390 sec,4.710 sec,4.520 sec
20,60,100 %,100 %,0 %,10 %,Timeout,Timeout,3.200 sec,3.240 sec,3.910 sec
20,60,100 %,100 %,0 %,20 %,Timeout,Timeout,3.180 sec,3.250 sec,3.100 sec
20,60,100 %,100 %,10 %,10 %,Timeout,Timeout,3.330 sec,3.240 sec,3.180 sec
20,60,100 %,100 %,10 %,20 %,Timeout,Timeout,3.250 sec,3.220 sec,3.070 sec
20,60,100 %,100 %,20 %,20 %,Timeout,Timeout,3.050 sec,3.200 sec,3.050 sec
40,40,25 %,25 %,0 %,0 %,0.450 sec,2.180 sec,0.010 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,0 %,10 %,0.910 sec,2.940 sec,0.010 sec,0.020 sec,0.020 sec
40,40,25 %,25 %,0 %,20 %,0.240 sec,1.580 sec,0.010 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,10 %,10 %,1.040 sec,3.040 sec,0.020 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,10 %,20 %,0.950 sec,3.700 sec,0.020 sec,0.020 sec,0.010 sec
40,40,25 %,25 %,20 %,20 %,1.100 sec,4.840 sec,0.010 sec,0.020 sec,0.010 sec
40,40,25 %,50 %,0 %,0 %,2.880 sec,15.150 sec,0.040 sec,0.040 sec,0.040 sec
40,40,25 %,50 %,0 %,10 %,11.920 sec,15.000 sec,0.040 sec,0.040 sec,0.030 sec
40,40,25 %,50 %,0 %,20 %,5.240 sec,16.530 sec,0.030 sec,0.030 sec,0.020 sec
40,40,25 %,50 %,10 %,10 %,3.750 sec,32.590 sec,0.040 sec,0.040 sec,0.040 sec
40,40,25 %,50 %,10 %,20 %,10.130 sec,24.220 sec,0.040 sec,0.040 sec,0.030 sec
40,40,25 %,50 %,20 %,20 %,5.590 sec,20.370 sec,0.050 sec,0.050 sec,0.040 sec
40,40,25 %,100 %,0 %,0 %,739.750 sec,189.360 sec,0.170 sec,0.160 sec,0.160 sec
40,40,25 %,100 %,0 %,10 %,168.920 sec,149.850 sec,0.160 sec,0.170 sec,0.140 sec
40,40,25 %,100 %,0 %,20 %,365.910 sec,207.900 sec,0.160 sec,0.160 sec,0.140 sec
40,40,25 %,100 %,10 %,10 %,92.330 sec,154.150 sec,0.140 sec,0.150 sec,0.150 sec
40,40,25 %,100 %,10 %,20 %,100.880 sec,177.480 sec,0.180 sec,0.200 sec,0.140 sec
40,40,25 %,100 %,20 %,20 %,663.150 sec,174.510 sec,0.180 sec,0.190 sec,0.170 sec
40,40,50 %,50 %,0 %,0 %,191.650 sec,158.250 sec,0.120 sec,0.140 sec,0.120 sec
40,40,50 %,50 %,0 %,10 %,30.380 sec,148.620 sec,0.130 sec,0.140 sec,0.120 sec
40,40,50 %,50 %,0 %,20 %,20.700 sec,132.440 sec,0.120 sec,0.130 sec,0.120 sec
40,40,50 %,50 %,10 %,10 %,26.240 sec,228.860 sec,0.130 sec,0.130 sec,0.140 sec
40,40,50 %,50 %,10 %,20 %,24.060 sec,151.360 sec,0.130 sec,0.130 sec,0.120 sec
40,40,50 %,50 %,20 %,20 %,45.950 sec,156.770 sec,0.120 sec,0.130 sec,0.110 sec
40,40,50 %,100 %,0 %,0 %,700.730 sec,Timeout,0.800 sec,0.790 sec,0.790 sec
40,40,50 %,100 %,0 %,10 %,916.410 sec,Timeout,0.720 sec,0.750 sec,0.740 sec
40,40,50 %,100 %,0 %,20 %,Timeout,Timeout,0.830 sec,0.790 sec,0.710 sec
40,40,50 %,100 %,10 %,10 %,Timeout,Timeout,0.740 sec,0.680 sec,0.730 sec
40,40,50 %,100 %,10 %,20 %,Timeout,Timeout,0.600 sec,0.640 sec,0.740 sec
40,40,50 %,100 %,20 %,20 %,Timeout,Timeout,0.630 sec,0.590 sec,0.580 sec
40,40,100 %,100 %,0 %,0 %,Timeout,Timeout,5.470 sec,5.360 sec,5.240 sec
40,40,100 %,100 %,0 %,10 %,Timeout,Timeout,5.500 sec,5.130 sec,5.200 sec
40,40,100 %,100 %,0 %,20 %,Timeout,Timeout,5.550 sec,5.100 sec,5.220 sec
40,40,100 %,100 %,10 %,10 %,Timeout,Timeout,5.470 sec,5.030 sec,5.360 sec
40,40,100 %,100 %,10 %,20 %,Timeout,Timeout,5.460 sec,5.050 sec,5.200 sec
40,40,100 %,100 %,20 %,20 %,Timeout,Timeout,5.340 sec,5.330 sec,5.230 sec
40,60,25 %,25 %,0 %,0 %,4.810 sec,16.230 sec,0.040 sec,0.040 sec,0.020 sec
40,60,25 %,25 %,0 %,10 %,3.170 sec,10.530 sec,0.020 sec,0.040 sec,0.030 sec
40,60,25 %,25 %,0 %,20 %,1.770 sec,7.520 sec,0.030 sec,0.040 sec,0.030 sec
40,60,25 %,25 %,10 %,10 %,11.000 sec,23.310 sec,0.030 sec,0.050 sec,0.030 sec
40,60,25 %,25 %,10 %,20 %,4.080 sec,9.830 sec,0.030 sec,0.030 sec,0.020 sec
40,60,25 %,25 %,20 %,20 %,2.590 sec,10.340 sec,0.020 sec,0.040 sec,0.020 sec
40,60,25 %,50 %,0 %,0 %,22.880 sec,101.650 sec,0.070 sec,0.080 sec,0.060 sec
40,60,25 %,50 %,0 %,10 %,16.210 sec,95.460 sec,0.070 sec,0.070 sec,0.060 sec
40,60,25 %,50 %,0 %,20 %,34.120 sec,84.810 sec,0.080 sec,0.080 sec,0.060 sec
40,60,25 %,50 %,10 %,10 %,137.940 sec,125.600 sec,0.080 sec,0.090 sec,0.080 sec
40,60,25 %,50 %,10 %,20 %,33.260 sec,68.400 sec,0.080 sec,0.090 sec,0.060 sec
40,60,25 %,50 %,20 %,20 %,64.940 sec,109.060 sec,0.060 sec,0.070 sec,0.060 sec
40,60,25 %,100 %,0 %,0 %,584.310 sec,852.080 sec,0.260 sec,0.280 sec,0.250 sec
40,60,25 %,100 %,0 %,10 %,172.660 sec,910.730 sec,0.260 sec,0.270 sec,0.240 sec
40,60,25 %,100 %,0 %,20 %,419.970 sec,751.230 sec,0.250 sec,0.260 sec,0.240 sec
40,60,25 %,100 %,10 %,10 %,434.390 sec,936.810 sec,0.300 sec,0.320 sec,0.280 sec
40,60,25 %,100 %,10 %,20 %,258.640 sec,573.010 sec,0.250 sec,0.260 sec,0.230 sec
40,60,25 %,100 %,20 %,20 %,384.950 sec,649.520 sec,0.240 sec,0.260 sec,0.230 sec
40,60,50 %,50 %,0 %,0 %,329.670 sec,592.810 sec,0.230 sec,0.250 sec,0.230 sec
40,60,50 %,50 %,0 %,10 %,627.910 sec,566.720 sec,0.230 sec,0.230 sec,0.220 sec
40,60,50 %,50 %,0 %,20 %,172.710 sec,563.700 sec,0.240 sec,0.250 sec,0.220 sec
40,60,50 %,50 %,10 %,10 %,709.310 sec,689.360 sec,0.260 sec,0.270 sec,0.240 sec
40,60,50 %,50 %,10 %,20 %,193.360 sec,751.560 sec,0.240 sec,0.250 sec,0.230 sec
40,60,50 %,50 %,20 %,20 %,969.390 sec,631.730 sec,0.240 sec,0.260 sec,0.230 sec
40,60,50 %,100 %,0 %,0 %,Timeout,Timeout,1.650 sec,1.730 sec,1.670 sec
40,60,50 %,100 %,0 %,10 %,Timeout,Timeout,1.540 sec,1.550 sec,1.620 sec
40,60,50 %,100 %,0 %,20 %,Timeout,Timeout,1.570 sec,2.090 sec,1.410 sec
40,60,50 %,100 %,10 %,10 %,Timeout,Timeout,1.550 sec,1.620 sec,1.630 sec
40,60,50 %,100 %,10 %,20 %,Timeout,Timeout,1.610 sec,1.600 sec,1.680 sec
40,60,50 %,100 %,20 %,20 %,Timeout,Timeout,1.580 sec,1.610 sec,1.380 sec
40,60,100 %,100 %,0 %,0 %,Timeout,Timeout,13.830 sec,17.370 sec,17.960 sec
40,60,100 %,100 %,0 %,10 %,Timeout,Timeout,14.420 sec,14.400 sec,13.750 sec
40,60,100 %,100 %,0 %,20 %,Timeout,Timeout,13.570 sec,13.860 sec,17.850 sec
40,60,100 %,100 %,10 %,10 %,Timeout,Timeout,13.600 sec,12.830 sec,13.730 sec
40,60,100 %,100 %,10 %,20 %,Timeout,Timeout,19.480 sec,19.270 sec,12.770 sec
40,60,100 %,100 %,20 %,20 %,Timeout,Timeout,12.890 sec,12.720 sec,18.850 sec
60,60,25 %,25 %,0 %,0 %,16.420 sec,51.590 sec,0.050 sec,0.060 sec,0.050 sec
60,60,25 %,25 %,0 %,10 %,10.170 sec,40.480 sec,0.040 sec,0.050 sec,0.040 sec
60,60,25 %,25 %,0 %,20 %,12.930 sec,63.040 sec,0.050 sec,0.060 sec,0.050 sec
60,60,25 %,25 %,10 %,10 %,39.860 sec,112.610 sec,0.050 sec,0.070 sec,0.060 sec
60,60,25 %,25 %,10 %,20 %,40.080 sec,58.740 sec,0.050 sec,0.060 sec,0.050 sec
60,60,25 %,25 %,20 %,20 %,16.250 sec,63.420 sec,0.050 sec,0.060 sec,0.040 sec
60,60,25 %,50 %,0 %,0 %,673.750 sec,483.130 sec,0.160 sec,0.160 sec,0.140 sec
60,60,25 %,50 %,0 %,10 %,88.590 sec,465.850 sec,0.120 sec,0.130 sec,0.130 sec
60,60,25 %,50 %,0 %,20 %,76.820 sec,469.760 sec,0.140 sec,0.150 sec,0.130 sec
60,60,25 %,50 %,10 %,10 %,78.030 sec,543.590 sec,0.150 sec,0.170 sec,0.140 sec
60,60,25 %,50 %,10 %,20 %,80.310 sec,535.940 sec,0.130 sec,0.140 sec,0.110 sec
60,60,25 %,50 %,20 %,20 %,105.770 sec,390.110 sec,0.110 sec,0.130 sec,0.110 sec
60,60,25 %,100 %,0 %,0 %,Timeout,Timeout,0.620 sec,0.670 sec,0.670 sec
60,60,25 %,100 %,0 %,10 %,Timeout,Timeout,0.630 sec,0.720 sec,0.560 sec
60,60,25 %,100 %,0 %,20 %,979.070 sec,Timeout,0.620 sec,0.650 sec,0.670 sec
60,60,25 %,100 %,10 %,10 %,Timeout,Timeout,0.870 sec,0.910 sec,0.680 sec
60,60,25 %,100 %,10 %,20 %,640.330 sec,Timeout,0.820 sec,0.900 sec,0.790 sec
60,60,25 %,100 %,20 %,20 %,Timeout,Timeout,0.590 sec,0.600 sec,0.710 sec
60,60,50 %,50 %,0 %,0 %,Timeout,Timeout,0.590 sec,0.590 sec,0.570 sec
60,60,50 %,50 %,0 %,10 %,Timeout,Timeout,0.530 sec,0.550 sec,0.490 sec
60,60,50 %,50 %,0 %,20 %,Timeout,Timeout,0.600 sec,0.630 sec,0.580 sec
60,60,50 %,50 %,10 %,10 %,514.990 sec,Timeout,0.570 sec,0.620 sec,0.560 sec
60,60,50 %,50 %,10 %,20 %,Timeout,Timeout,0.740 sec,0.750 sec,0.500 sec
60,60,50 %,50 %,20 %,20 %,Timeout,Timeout,0.620 sec,0.670 sec,0.640 sec
60,60,50 %,100 %,0 %,0 %,Timeout,Timeout,3.620 sec,3.670 sec,4.280 sec
60,60,50 %,100 %,0 %,10 %,Timeout,Timeout,3.860 sec,3.960 sec,3.770 sec
60,60,50 %,100 %,0 %,20 %,Timeout,Timeout,4.950 sec,4.760 sec,4.030 sec
60,60,50 %,100 %,10 %,10 %,Timeout,Timeout,4.010 sec,3.870 sec,4.500 sec
60,60,50 %,100 %,10 %,20 %,Timeout,Timeout,5.240 sec,5.260 sec,3.770 sec
60,60,50 %,100 %,20 %,20 %,Timeout,Timeout,4.780 sec,4.440 sec,4.660 sec
60,60,100 %,100 %,0 %,0 %,Timeout,Timeout,38.570 sec,35.650 sec,47.760 sec
60,60,100 %,100 %,0 %,10 %,Timeout,Timeout,36.370 sec,34.270 sec,39.210 sec
60,60,100 %,100 %,0 %,20 %,Timeout,Timeout,40.820 sec,37.450 sec,34.820 sec
60,60,100 %,100 %,10 %,10 %,Timeout,Timeout,38.390 sec,37.440 sec,41.420 sec
60,60,100 %,100 %,10 %,20 %,Timeout,Timeout,39.850 sec,34.960 sec,37.230 sec
60,60,100 %,100 %,20 %,20 %,Timeout,Timeout,33.550 sec,31.250 sec,37.750 sec
